Name                                 RA           Dec         z    R500   err    T500   err     M500      err      R2500  err    T2500  err     M2500     err         LX       err        c500    err       c     err     P1/P0     err        P2/P0     err        P3/P0     err         w        err        w_azi     err       ellip   posang    K0    err     K100   err   alpha err   t_c_ctr  err   R2500_hy  Mtot@R2500h  err     Mgas@R2500h  err    fgas@R2500h err Mtot@R2500s  err     Mgas@R2500s  err    fgas@R2500s err
                                  (J2000)       (J2000)               (Mpc)         (keV)           (M_Sun)           (Mpc)         (keV)           (M_Sun)            (erg s-1)         (0.1-0.5R500)    (100-500kpc)                                                                                                                    (rad)     (keV cm2)     (keV cm2)                    (Gyr)        (Mpc)         (M_Sun)              (M_Sun)                             (M_Sun)              (M_Sun)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
400d_J0838+1948                   8:38:30.91   19:48:19.9  0.1230  0.806 0.117   2.995 0.752  1.705e+14 7.486e+13  0.334 0.050   2.717 0.685  6.085e+13 2.762e+13  2.903e+43 3.663e+42      -      -        -      -    1.800e-01 7.389e-01  1.416e-01 2.643e-01  7.247e-03 4.885e-02  1.817e-03 4.783e-05  6.819e-02 1.795e-03  0.1277   2.4901     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0926+1242                   9:26:36.75   12:43:04.1  0.4890  0.868 0.105   4.918 0.856  3.109e+14 1.138e+14  0.405 0.055   5.405 1.033  1.577e+14 6.519e+13  2.805e+44 1.658e+43      -      -        -      -    1.766e-01 4.593e-01  1.375e-01 1.740e-01  1.889e-03 1.360e-02  2.510e-03 6.605e-05  7.020e-02 1.847e-03  0.3130   2.6331     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0956+4107                   9:56:02.73   41:07:21.5  0.5870  0.762 0.106   4.262 0.801  2.343e+14 9.799e+13  0.357 0.055   4.755 0.963  1.208e+14 5.592e+13  4.176e+44 3.944e+43      -      -        -      -    5.216e+00 2.624e+00  4.027e-01 3.163e-01  3.350e-02 4.931e-02  4.816e-03 1.267e-04  7.447e-02 1.960e-03  0.3965  -2.0697     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1120+2326                  11:20:57.10   23:26:30.8  0.5620  0.746 0.059   3.990 0.412  2.139e+14 5.062e+13  0.355 0.032   4.594 0.545  1.157e+14 3.125e+13  3.199e+44 2.080e+43    2.831  0.726      -      -    1.144e+00 1.108e+00  5.580e-02 9.042e-02  4.646e-02 5.706e-02  3.621e-03 9.529e-05  6.138e-02 1.615e-03  0.1867   1.1920     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1202+5751                  12:02:18.64   57:51:57.2  0.6770  0.628 0.134   3.263 0.900  1.456e+14 9.443e+13  0.275 0.053   3.236 0.787  6.084e+13 3.577e+13  3.462e+44 4.385e+43      -      -        -      -    2.475e+00 2.179e+00  1.888e-01 2.559e-01  1.845e-02 4.237e-02  4.509e-03 1.187e-04  8.329e-02 2.192e-03  0.4146   3.0597     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1206-0744                  12:06:31.79   -7:44:26.5  0.0680  0.749 0.066   2.492 0.367  1.306e+14 3.480e+13  0.304 0.025   2.179 0.294  4.358e+13 1.057e+13  1.316e+43 1.436e+42      -      -        -      -    3.722e-01 1.459e+00  3.689e-01 5.368e-01  6.039e-02 1.245e-01  2.081e-03 5.476e-05  6.290e-02 1.655e-03  0.2775  -0.1600     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1221+4918                  12:21:28.05   49:18:24.0  0.7000  0.996 0.114   7.967 1.120  5.950e+14 2.058e+14  0.428 0.054   7.421 1.157  2.362e+14 9.041e+13  7.136e+44 2.677e+43      -      -     21.397  2.347  3.970e-01 5.449e-01  7.135e-02 9.308e-02  5.530e-04 8.344e-03  3.617e-03 9.519e-05  6.614e-02 1.740e-03  0.9310  -1.8197     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1312+3900                  13:12:19.91   39:00:55.1  0.4040  0.937 0.173   5.205 1.455  3.563e+14 1.990e+14  0.390 0.072   4.639 1.251  1.284e+14 7.155e+13  2.053e+44 1.776e+43      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.1249  -1.2471     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1340+4017                  13:40:32.75   40:17:39.0  0.1710  0.561 0.050   1.576 0.190  6.027e+13 1.605e+13  0.244 0.017   1.598 0.167  2.483e+13 5.190e+12  1.089e+43 2.690e+42   13.587  2.280      -      -    3.147e-01 6.908e-01  3.524e-02 8.016e-02  2.726e-03 1.900e-02  2.871e-03 7.555e-05  6.362e-02 1.674e-03  0.0583   4.0564     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1354-0221                  13:54:17.27   -2:22:02.7  0.5460  0.832 0.159   4.812 1.293  2.911e+14 1.691e+14  0.351 0.063   4.416 1.069  1.095e+14 5.925e+13  2.289e+44 2.357e+43      -      -        -      -    1.938e+00 1.942e+00  7.876e-02 1.811e-01  1.255e-02 3.699e-02  4.331e-03 1.140e-04  4.750e-02 1.250e-03  0.3212   5.0256     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J1641+4001                  16:41:53.56   40:01:45.0  0.4640  0.785 0.119   3.952 0.876  2.232e+14 1.023e+14  0.346 0.050   3.958 0.814  9.559e+13 4.196e+13  1.965e+44 1.622e+43      -      -        -      -    3.796e-01 7.893e-01  5.196e-02 1.074e-01  1.026e-02 2.963e-02  2.809e-03 7.392e-05  6.357e-02 1.673e-03  0.2151  -1.8457     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J2220-5228                  22:20:08.61  -52:27:50.2  0.1020  0.971 0.073   4.190 0.536  2.931e+14 6.599e+13  0.444 0.037   4.461 0.636  1.404e+14 3.559e+13  7.413e+43 4.482e+42      -      -        -      -    5.606e-01 1.744e+00  2.031e-01 2.947e-01  4.638e-02 1.180e-01  1.394e-03 3.669e-05  6.933e-02 1.824e-03  0.1778  -5.6208     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J2247+0337                  22:47:27.85    3:37:00.9  0.2000  0.676 0.080   2.302 0.437  1.082e+14 3.866e+13  0.278 0.068   2.072 0.830  3.773e+13 2.837e+13  1.681e+43 3.112e+42      -      -        -      -    7.712e-01 1.418e+00  4.897e-02 1.287e-01  1.822e-03 2.479e-02  3.086e-03 8.122e-05  7.279e-02 1.915e-03  0.1190  -0.3763     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
A1882a                           14:15:06.84   -0:29:31.1  0.1405  0.873 0.036   3.536 0.199  2.201e+14 2.694e+13  0.385 0.016   3.544 0.228  9.442e+13 1.180e+13  3.440e+43 1.641e+42      -      -        -      -    9.943e-01 6.835e-01  1.244e-01 8.875e-02  2.207e-03 7.808e-03  1.908e-03 5.021e-05  6.961e-02 1.832e-03  0.2647  -2.6694    0.00   3.77  182.99  41.48  1.32 0.29   5.080  6.011    0.573   3.113e+14 2.552e+13      -         -         -      -     1.980e+14 1.370e+13      -         -         -      -  
A1882b                           14:14:57.69   -0:20:58.5  0.1405    -     -       -     -        -         -        -     -       -     -        -         -      6.815e+42 1.317e+42      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.1043   4.2107     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
A98ss                             0:46:36.39   20:15:24.1  0.1289  0.736 0.056   2.536 0.298  1.306e+14 2.963e+13  0.331 0.032   2.661 0.433  5.920e+13 1.742e+13  3.139e+43 5.044e+42    0.123  0.039    0.537  0.065      -         -          -         -          -         -          -         -          -         -      0.0631   1.0998     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_0013                        0:13:37.88  -19:30:09.1  0.0943  1.017 0.032   4.538 0.201  3.341e+14 3.198e+13  0.461 0.017   4.753 0.271  1.560e+14 1.699e+13  9.653e+43 1.603e+42    2.067  0.153    5.960  0.185  9.245e+00 1.614e+00  3.692e-01 1.259e-01  1.506e-01 3.677e-02  2.511e-03 6.608e-05  4.091e-02 1.077e-03  0.1854   0.5772  116.64  30.41  174.30  35.39  0.76 0.15  11.410  6.433    0.430   1.263e+14 2.955e+13      -         -         -      -     1.646e+14 4.002e+13      -         -         -      -  
ABELL_0068                        0:37:06.48    9:09:32.3  0.2550  1.356 0.146   9.027 1.522  9.234e+14 2.992e+14  0.618 0.068   9.289 1.602  4.364e+14 1.449e+14  1.012e+45 3.598e+43   11.769  0.672    5.930  0.442  2.595e+00 1.861e+00  7.163e-01 3.811e-01  2.566e-02 3.240e-02  2.613e-03 6.877e-05  4.404e-02 1.159e-03  0.3012   0.7366  202.23  14.88   52.28   9.45  1.59 0.11   9.765  5.418      -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_0085                        0:41:50.40   -9:18:10.8  0.0551  1.232 0.029   6.311 0.104  5.739e+14 4.025e+13  0.543 0.010   6.195 0.107  2.458e+14 1.335e+13  5.449e+44 2.756e+42    3.501  0.079    9.333  0.067      -         -          -         -          -         -          -         -          -         -      0.1059   4.5934     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_0098N                       0:46:24.68   20:37:18.6  0.1043  0.900 0.060   3.631 0.401  2.336e+14 4.669e+13  0.405 0.025   3.768 0.385  1.061e+14 1.966e+13  5.430e+43 2.575e+42   25.033  1.348      -      -    3.956e-01 5.586e-01  1.229e-01 1.227e-01  3.676e-03 1.314e-02  1.723e-03 4.535e-05  6.996e-02 1.841e-03  0.1876  -2.0318   15.95   3.40  160.27   8.48  1.22 0.07   1.492  0.238    0.323   5.421e+13 2.245e+12      -         -         -      -     6.891e+13 2.908e+12      -         -         -      -  
ABELL_0119                        0:56:15.15   -1:14:59.7  0.0442  1.190 0.026   5.849 0.097  5.121e+14 3.411e+13  0.541 0.012   6.101 0.163  2.411e+14 1.544e+13  9.785e+43 1.114e+42    0.747  0.222    3.562  0.132  1.995e+01 2.802e+00  2.510e-01 1.408e-01  5.723e-02 3.049e-02  1.610e-03 4.237e-05  9.041e-02 2.379e-03  0.9990  -3.3459     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_0122                        0:57:22.88  -26:16:50.9  0.1135  1.009 0.089   4.537 0.694  3.314e+14 8.842e+13  0.448 0.040   4.582 0.686  1.456e+14 3.893e+13  8.562e+43 5.873e+42      -      -        -      -    3.789e-01 1.274e+00  3.110e-01 4.767e-01  1.652e-02 7.811e-02  1.250e-03 3.290e-05  6.072e-02 1.598e-03  0.2733   0.0222     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_0133                        1:02:41.76  -21:52:49.8  0.0566  0.994 0.021   4.205 0.050  3.019e+14 1.956e+13  0.441 0.007   4.253 0.047  1.320e+14 6.406e+12  1.328e+44 1.329e+42    2.139  0.065   10.381  0.070  6.027e-01 1.509e-01  5.460e-01 5.932e-02  6.755e-03 3.815e-03  9.994e-04 2.630e-05  5.019e-02 1.321e-03  0.2156   4.9731   14.59   2.20  195.55   8.55  1.36 0.08   0.762  0.312      -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_0141                        1:05:34.38  -24:37:58.8  0.2300  1.210 0.107   7.108 1.007  6.402e+14 1.704e+14  0.525 0.042   6.756 0.850  2.619e+14 6.275e+13  4.222e+44 1.507e+43    8.000  0.607    7.657  0.585  1.192e+01 3.499e+00  9.944e-01 3.686e-01  2.117e-01 9.974e-02  4.069e-03 1.071e-04  6.082e-02 1.600e-03  0.6345   1.5418  147.29  15.96   54.49  14.31  1.45 0.17  11.170  4.245    0.335   6.778e+13 2.379e+12  8.561e+12 2.709e+11  0.1263 0.0060   1.158e+14 3.936e+12  2.154e+13 5.926e+11  0.1860 0.0081
ABELL_0160                        1:13:00.69   15:29:15.1  0.0447  0.620 0.033   1.703 0.064  7.236e+13 1.140e+13  0.275 0.010   1.778 0.086  3.166e+13 3.569e+12  9.425e+42 4.588e+41   28.270  2.087      -      -    6.301e+01 8.152e+00  3.735e-01 2.535e-01  9.892e-03 2.125e-02  2.753e-03 7.246e-05  8.336e-02 2.194e-03  0.1881  -2.9655   78.71  36.25  158.81  36.18  0.93 0.44  16.070 15.137    0.117   2.397e+12 4.143e+12  1.645e+11 3.912e+10  0.0686 0.1197   3.039e+13 3.097e+12  1.818e+12 5.507e+10  0.0598 0.0064
ABELL_0193                        1:25:07.66    8:41:57.1  0.0486  0.927 0.031   3.670 0.157  2.429e+14 2.404e+13  0.407 0.011   3.648 0.139  1.031e+14 8.297e+12  7.236e+43 1.301e+42    1.716  0.134    3.867  0.124  2.900e-01 4.162e-01  1.085e+00 2.413e-01  1.468e-01 4.890e-02  1.769e-03 4.655e-05  7.170e-02 1.887e-03  0.2792  -3.4723  146.39   5.93   43.99  11.65  4.95 1.64   9.205  5.392    0.466   1.543e+14 4.450e+13      -         -         -      -     1.477e+14 3.394e+13      -         -         -      -  
ABELL_0209                        1:31:52.56  -13:36:38.8  0.2060  1.371 0.084   8.797 0.772  9.087e+14 1.668e+14  0.607 0.033   8.598 0.714  3.935e+14 6.439e+13  9.083e+44 1.852e+43    3.897  0.199    4.963  0.213  8.465e-02 2.779e-01  4.050e-01 1.856e-01  4.561e-03 1.038e-02  2.016e-03 5.305e-05  7.466e-02 1.965e-03  0.1979  -2.4335  113.62  25.98  141.01  31.62  0.96 0.19   7.252  2.517    0.552   2.958e+14 2.380e+13  3.103e+13 6.337e+11  0.1049 0.0087   3.280e+14 2.613e+13  3.686e+13 7.259e+11  0.1124 0.0092
ABELL_0262                        1:52:46.30   36:09:11.8  0.0174  0.730 0.027   2.279 0.011  1.156e+14 1.298e+13  0.318 0.007   2.281 0.011  4.780e+13 3.105e+12  9.250e+42 6.451e+40    1.694  0.092    5.660  0.052  2.261e+01 7.891e-01  3.687e-01 3.717e-02  7.663e-02 9.413e-03  1.845e-03 4.856e-05  6.372e-02 1.677e-03  0.1083   6.2165    0.78   0.72  173.83  10.98  0.91 0.04   0.196  0.019    0.161   6.160e+12 5.595e+11      -         -         -      -     4.817e+12 5.001e+11      -         -         -      -  
