#  Columms are:
#  1) T_{500}  [keV]
#  2) Gaussian error in T_{500}  [keV]
#  3) Bolometric luminosity [ergs/s]
#  4) Gaussian error in Bolometric luminosity [erg/s]

6.871 0.887 1.134e+45 3.862e+43
5.725 0.785 1.032e+45 4.484e+43
6.952 1.118 1.314e+45 6.879e+43
11.781 0.953 2.169e+45 2.606e+43
9.796 1.402 2.194e+45 7.614e+43
5.348 0.796 4.967e+44 1.705e+43
13.427 0.744 3.249e+45 4.779e+43
8.402 0.742 2.135e+45 7.359e+43
6.546 0.840 9.007e+44 4.440e+43
9.543 1.813 1.615e+45 5.748e+43
10.460 3.316 6.065e+44 3.899e+43
10.594 2.978 1.348e+45 8.491e+43
6.459 0.708 9.540e+44 3.877e+43
9.819 1.024 1.864e+45 3.557e+43
8.317 0.778 2.097e+45 6.859e+43
10.549 1.229 3.000e+45 6.802e+43
5.944 0.493 1.012e+45 3.088e+43
7.065 0.957 7.705e+44 3.291e+43
6.201 1.072 7.967e+44 3.446e+43
4.639 0.357 5.672e+44 1.731e+43
7.589 0.383 1.611e+45 1.715e+43
7.145 0.584 9.371e+44 2.552e+43
8.150 0.767 1.299e+45 3.032e+43
7.301 2.282 1.212e+45 4.353e+43
3.877 0.342 2.011e+44 7.521e+42
7.907 0.360 2.435e+45 2.569e+43
5.825 0.553 1.382e+45 4.303e+43
8.159 0.995 2.315e+45 9.483e+43
8.126 1.150 7.413e+44 2.777e+43
6.153 0.413 8.097e+44 1.580e+43
8.556 0.958 1.994e+45 6.304e+43
5.727 0.597 9.041e+44 2.851e+43
6.387 0.903 9.769e+44 3.622e+43
6.307 1.041 4.699e+44 2.542e+43
7.235 0.704 1.921e+45 4.803e+43
7.173 0.656 8.826e+44 2.568e+43
5.797 0.603 7.619e+44 2.880e+43
4.424 0.387 4.332e+44 1.692e+43
4.131 0.331 4.707e+44 1.045e+43
9.818 1.248 1.104e+45 2.433e+43
6.140 0.619 5.481e+44 1.350e+43
3.586 0.023 2.196e+44 2.014e+42
2.439 0.240 2.581e+43 2.312e+42
3.359 0.204 2.851e+44 5.752e+42
1.502 0.026 5.686e+42 1.231e+41
3.217 0.143 8.209e+43 2.181e+42
6.934 0.573 1.105e+45 1.496e+43
4.608 0.426 4.794e+44 1.510e+43
6.314 0.558 1.009e+45 1.981e+43
3.893 0.472 2.480e+44 1.118e+43
10.923 0.801 2.725e+45 3.785e+43
7.396 0.554 1.123e+45 2.283e+43
7.113 0.661 1.243e+45 2.693e+43
4.389 0.307 2.623e+44 9.520e+42
9.195 1.083 1.330e+45 2.575e+43
4.740 0.700 2.334e+44 8.521e+42
3.323 0.298 1.240e+44 5.416e+42
3.334 0.296 2.089e+44 8.965e+42
6.574 0.423 6.064e+44 1.025e+43
2.548 0.271 7.686e+42 3.487e+41
1.993 0.078 3.829e+43 1.315e+42
1.949 0.181 9.510e+42 4.507e+41
5.507 0.376 2.016e+44 4.089e+42
4.741 0.430 2.595e+44 9.378e+42
2.853 0.191 5.451e+43 1.776e+42
8.917 0.447 5.685e+44 9.515e+42
4.352 0.127 4.286e+44 4.798e+42
5.137 0.136 4.931e+44 3.427e+42
5.721 0.780 5.636e+44 2.952e+43
8.387 0.929 8.476e+44 2.548e+43
4.513 0.328 4.609e+44 9.584e+42
4.146 0.345 9.443e+43 2.783e+42
3.598 0.160 1.766e+44 4.681e+42
7.928 0.943 1.035e+45 2.598e+43
3.000 0.615 1.694e+43 1.528e+42
9.148 0.945 8.104e+44 1.355e+43
3.693 0.437 4.886e+44 2.010e+43
7.215 0.468 1.491e+45 1.707e+43
6.615 0.961 1.351e+45 3.943e+43
7.278 0.945 9.498e+44 2.774e+43
7.404 0.362 1.043e+45 1.524e+43
11.194 1.927 1.780e+45 3.202e+43
5.545 0.349 5.912e+44 1.192e+43
8.940 0.913 1.578e+45 3.918e+43
8.851 0.900 1.283e+45 3.953e+43
4.421 0.178 2.058e+44 5.276e+42
1.733 0.145 3.347e+39 1.002e+38
3.527 0.046 1.698e+44 1.251e+42
2.091 0.041 6.044e+42 1.540e+41
3.000 3.000 9.923e+41 1.510e+41
4.401 0.289 7.796e+44 1.433e+43
0.831 0.028 4.830e+41 5.032e+40
2.553 0.179 2.633e+42 1.087e+41
2.566 0.154 1.366e+42 5.756e+40
1.719 0.079 5.879e+41 3.930e+41
0.400 1.256 3.515e+41 1.153e+41
0.618 0.038 2.481e+42 9.918e+41
1.073 0.014 2.389e+42 1.502e+41
1.417 0.002 4.064e+41 6.001e+39
1.609 0.087 3.331e+41 2.942e+40
0.711 0.109 1.531e+41 6.934e+40
0.813 0.006 5.887e+42 2.365e+41
1.701 0.048 3.115e+42 1.758e+41
9.503 2.672 9.881e+39 2.399e+39
1.794 0.076 4.154e+42 1.458e+41
1.011 0.009 9.221e+42 2.898e+41
0.658 0.003 1.946e+41 5.694e+39
1.356 0.008 1.637e+42 1.869e+40
1.464 0.046 3.645e+41 1.250e+40
5.372 0.183 6.135e+42 1.063e+41
0.997 0.002 5.079e+42 5.541e+40
1.083 0.015 4.599e+42 2.009e+41
0.889 0.024 1.011e+42 5.367e+40
1.029 0.031 6.678e+41 4.728e+40
0.647 0.005 4.534e+41 1.350e+40
2.037 0.109 1.101e+43 5.051e+41
2.626 0.040 1.554e+43 3.156e+41
0.533 0.020 1.182e+42 1.058e+41
1.068 0.012 2.297e+41 7.179e+39
0.611 0.009 2.195e+41 1.279e+40
0.674 0.012 1.981e+42 1.018e+41
5.172 0.405 3.470e+44 7.436e+42
2.792 0.072 2.387e+43 6.761e+41
6.043 0.784 6.835e+44 2.835e+43
4.253 0.302 3.268e+44 9.579e+42
3.320 0.327 1.208e+44 3.161e+42
13.658 4.999 9.505e+44 1.122e+43
5.211 0.233 1.044e+45 1.277e+43
6.135 1.371 3.879e+44 2.433e+43
6.424 0.550 3.626e+44 9.327e+42
6.242 0.678 3.973e+44 1.396e+43
7.065 0.360 3.107e+44 5.187e+42
0.894 0.150 2.593e+42 7.820e+41
4.403 0.358 1.978e+44 8.232e+42
5.776 0.103 3.487e+43 3.667e+41
6.587 0.793 4.542e+44 1.551e+43
1.069 0.163 1.122e+43 6.898e+42
10.033 0.117 4.385e+44 9.546e+41
8.474 0.184 1.932e+45 5.897e+42
6.076 0.505 7.241e+44 1.450e+43
7.394 0.824 5.477e+44 1.465e+43
6.779 0.635 5.338e+44 1.767e+43
9.352 1.116 6.604e+44 1.853e+43
8.604 0.973 1.267e+45 3.238e+43
7.873 0.623 1.304e+45 2.564e+43
9.229 0.394 1.098e+45 1.368e+43
3.014 0.500 7.754e+43 5.096e+42
5.666 1.193 4.193e+44 1.673e+43
4.737 0.802 5.334e+44 6.950e+43
9.547 1.534 7.903e+43 1.975e+42
6.333 0.766 6.232e+44 2.882e+43
1.781 0.742 6.327e+43 1.745e+43
3.057 0.465 1.438e+44 1.639e+43
3.619 0.136 2.806e+43 8.568e+41
2.597 0.184 9.436e+42 4.563e+41
1.656 0.104 1.022e+43 5.771e+41
4.422 0.653 2.839e+43 2.016e+42
7.191 0.298 1.141e+45 1.155e+43
7.216 9.999 8.013e+43 6.649e+42
5.160 0.325 4.300e+44 8.666e+42
2.304 0.487 1.146e+43 1.541e+42
4.161 0.436 6.639e+44 3.893e+43
4.345 0.546 9.031e+44 3.688e+43
5.674 1.115 6.981e+44 2.928e+43
10.375 1.660 1.169e+45 5.362e+43
6.315 0.961 9.223e+44 3.593e+43
6.340 0.793 8.969e+44 4.274e+43
4.314 0.944 6.452e+44 4.523e+43
